Id instrument	longitude	latitude	subsidence
Tu-AA-01-TLP-01	105.8154	21.0308	-4.80
Tu-AA-01-TLP-02	105.8154	21.0307	-4.12
Tu-AA-01-TLP-03	105.8154	21.0306	-4.29
Tu-AA-01-TLP-04	10.5815	21.0306	-4.93
Tu-AA-01-TLP-05	105.8154	21.0305	-10.57
Tu-AA-01-TLP-06	105.8154	21.0304	-4.25
Tu-AA-01-TLP-07	105.8154	21.0304	-4.64
Tu-AA-02-TLP-01	105.8156	21.0308	-5.61
Tu-AA-02-TLP-02	105.8156	21.0307	-5.22
Tu-AA-02-TLP-03	105.8156	21.0307	-6.97
Tu-AA-02-TLP-04	105.8156	21.0306	-24.28
Tu-AA-02-TLP-05	105.8156	21.0305	-56.84
Tu-AA-02-TLP-06	10.5816	21.0304	-10.40
Tu-AA-02-TLP-07	105.8156	21.0304	-4.07
Tu-AA-03-TLP-01	105.8157	21.0307	-4.84
Tu-AA-03-TLP-02	105.8157	21.0305	-80.20
Tu-AA-04-TLP-01	105.8158	21.0308	-3.54
Tu-AA-04-TLP-02	105.8158	21.0307	-3.14
Tu-AA-04-TLP-03	105.8158	21.0307	-3.53
Tu-AA-04-TLP-04	105.8158	21.0306	-9.29
Tu-AA-04-TLP-05	105.8158	21.0305	-63.71
Tu-AA-04-TLP-06	10.5816	21.0305	-7.83
Tu-AA-04-TLP-07	10.5816	21.0304	-4.29
Tu-AA-05-TLP-01	105.8159	21.0307	-5.27
Tu-AA-06-TLP-01	105.8160	21.0308	-1.69
Tu-AA-06-TLP-02	105.8160	21.0308	-2.87
Tu-AA-06-TLP-03	105.8160	21.0307	-9.23
Tu-AA-06-TLP-04	105.8160	21.0306	-3.22
Tu-AA-06-TLP-05	105.8160	21.0306	-34.11
Tu-AA-06-TLP-06	105.8160	21.0305	-4.39
Tu-AA-06-TLP-07	105.8160	21.0304	-4.26
Tu-AA-07-TLP-01	105.8161	21.0307	-4.01
Tu-AA-07-TLP-02	105.8161	21.0306	-34.15
Tu-AA-08-TLP-01	105.8161	21.0308	-2.65
Tu-AA-08-TLP-02	105.8162	2.1031	-2.26
Tu-AA-08-TLP-03	105.8162	21.0307	-3.15
Tu-AA-08-TLP-04	105.8162	21.0306	-19.81
Tu-AA-08-TLP-05	105.8162	21.0306	-40.58
Tu-AA-08-TLP-06	105.8162	0.0210	-19.14
Tu-AA-08-TLP-07	105.8162	21.0305	-6.93
Tu-AA-09-TLP-01	105.8163	21.0308	-2.42
Tu-AA-09-TLP-02	105.8163	21.0308	-3.84
Tu-AA-09-TLP-03	105.8163	2.1031	-8.62
Tu-AA-09-TLP-04	105.8164	21.0307	-13.87
Tu-AA-09-TLP-05	105.8164	21.0306	-32.03
Tu-AA-09-TLP-06	105.8164	21.0305	-13.08
Tu-AA-09-TLP-07	105.8164	21.0305	-8.93
Tu-AA-10-TLP-01	105.8165	21.0307	-9.84
Tu-AA-11-TLP-01	105.8168	21.0309	-5.28
Tu-AA-11-TLP-02	105.8168	21.0309	-5.62
Tu-AA-11-TLP-03	105.8168	21.0308	-6.47
Tu-AA-11-TLP-04	105.8168	21.0307	-16.79
Tu-AA-11-TLP-05	105.8168	2.1031	-27.98
Tu-AA-11-TLP-06	105.8169	21.0306	-6.25
Tu-AA-11-TLP-07	105.8169	21.0304	-3.34
Tu-AA-12-TLP-01	105.8170	21.0308	-4.15
Tu-AA-12-TLP-02	105.8170	21.0307	-32.69
Tu-AA-13-TLP-01	105.8173	21.0311	-3.43
Tu-AA-13-TLP-02	105.8173	21.0310	-2.97
Tu-AA-13-TLP-03	10.5817	21.0309	-4.15
Tu-AA-13-TLP-04	10.5817	21.0308	-5.40
Tu-AA-13-TLP-05	105.8173	21.0308	-17.74
Tu-AA-13-TLP-06	105.8173	21.0307	-33.85
Tu-AA-13-TLP-07	105.8173	21.0306	-6.42
Tu-AA-13-TLP-08	105.8174	21.0305	-3.15
Tu-AA-14-TLP-01	105.8175	21.0309	-7.09
Tu-AA-14-TLP-02	105.8175	21.0307	-23.30
Tu-AA-15-TLP-01	105.8178	21.0311	-2.96
Tu-AA-15-TLP-02	105.8178	21.0310	-3.86
Tu-AA-15-TLP-03	105.8178	21.0309	-4.85
Tu-AA-15-TLP-04	105.8178	21.0308	-19.49
Tu-AA-15-TLP-05	10.5818	21.0307	-24.32
Tu-AA-15-TLP-07	105.8178	21.0306	-4.09
Tu-AA-16-TLP-01	0.1058	21.0309	-6.21
Tu-AA-16-TLP-02	105.8180	21.0307	-26.07
Tu-AA-17-TLP-01	105.8182	21.0311	-4.03
Tu-AA-17-TLP-02	105.8183	21.0311	-3.06
Tu-AA-17-TLP-03	105.8183	21.0310	-5.31
Tu-AA-17-TLP-04	105.8183	21.0309	-25.99
Tu-AA-17-TLP-05	105.8183	21.0308	-28.06
Tu-AA-17-TLP-06	105.8183	21.0307	-15.26
Tu-AA-17-TLP-07	105.8183	21.0306	-5.69
Tu-AA-18-TLP-01	10.5819	0.0210	-4.67
Tu-AA-18-TLP-02	105.8185	21.0308	-14.83
Tu-AA-19-TLP-01	105.8187	21.0311	0.00
Tu-AA-19-TLP-02	10.5819	21.0312	-2.75
Tu-AA-19-TLP-03	105.8187	2.1031	-4.07
